,robot_y
846,-0.32289333004786147
847,-0.3233754142525029
848,-0.349616619224381
849,-0.37729860613097327
850,-0.4197178572867753
851,-0.4657921706939383
852,-0.5051446727923523
853,-0.5429644157916323
854,-0.5580475962117808
855,-0.5610485026048787
856,-0.5545502432872645
857,-0.5392201364537118
858,-0.5149035510202467
859,-0.48734763647100093
860,-0.45349401979602455
861,-0.43234535838469457
862,-0.39744205148148937
863,-0.37769975858824584
864,-0.353394276029292
865,-0.32201808581560837
866,-0.2801797239929041
867,-0.2041671661783772
868,-0.1637543511647428
869,-0.13646526023048267
870,-0.11651168760555841
871,-0.11965408229360627
872,-0.14091473105597457
873,-0.1768782658912163
874,-0.22191088831275027
875,-0.26899226477787563
876,-0.31078832346560936
877,-0.34317070853660053
878,-0.3586599033277992
879,-0.34912414488011595
880,-0.32168840610187127
881,-0.28242555217097104
882,-0.23826563336762843
883,-0.19887392252678343
884,-0.1567338015565422
885,-0.1268077738233997
886,-0.11369103756276286
887,-0.11665075278068096
888,-0.13989662477026002
889,-0.16963499753646033
890,-0.21151299420639055
891,-0.25754660320315376
892,-0.29982493482849465
893,-0.32020589946774236
894,-0.33489985746885
895,-0.3367947087938532
896,-0.32981606383995493
897,-0.3077918634146433
898,-0.2711594818238674
899,-0.22581218486198368
900,-0.1788890566797397
901,-0.14345077065628759
902,-0.11865300248097517
903,-0.11319178063938815
904,-0.1152017366140317
905,-0.12651129297728272
906,-0.13838516813481463
907,-0.15523019048981224
908,-0.1653211785953878
909,-0.1750004651711291
910,-0.18412985393202605
911,-0.18993569282738484
912,-0.1872673039626335
913,-0.1756809991459545
914,-0.15447066703794374
915,-0.1293502075683195
916,-0.10441494232394918
917,-0.07569776906063597
918,-0.045938961637913035
919,-0.028828165174936443
920,-0.010873202718047996
921,-0.006852564582870141
922,-0.011543577823800836
923,-0.02621058687527844
924,-0.05831923049774835
925,-0.087913185630385
926,-0.13174333326845034
927,-0.15182516160548948
928,-0.16936902122475292
929,-0.1608366465514966
930,-0.1351079354198967
931,-0.10422277467982924
932,-0.06097268533529407
933,-0.01413767782536589
934,0.02084556539520654
935,0.04760641353569682
936,0.05362106991468197
937,0.04223834110896464
938,0.021453826861227144
939,-0.01479780761959236
940,-0.06021030467912661
941,-0.10654534738581965
942,-0.14790113818535885
943,-0.17247804298828728
944,-0.19092728997952269
945,-0.19380345807124996
946,-0.18200717022584512
947,-0.16426088969931404
948,-0.13316720524237297
949,-0.08922344641208899
950,-0.04610435135662622
951,-0.007255005655106505
952,0.02277926343344701
953,0.04207718116225737
954,0.04058877125648483
955,0.025613644694127084
956,-0.0021988402841703327
957,-0.027750899419536568
958,-0.061079204131426576
959,-0.09400685709578967
960,-0.12015696787016454
961,-0.13678980218586592
962,-0.1366071718502278
963,-0.12325667447435247
964,-0.09497781465900892
965,-0.05735350360219378
966,-0.01799849673973187
967,0.024571370823930256
968,0.05475578436280596
969,0.08541235899915857
970,0.08948037109312999
971,0.08012822134663997
972,0.05323924272333402
973,0.013762881412983862
974,-0.03801608107003297
975,-0.07881604121648343
976,-0.10735686947527753
977,-0.15875440965027876
978,-0.20232714489179882
979,-0.24843747815215342
980,-0.29127032815506126
981,-0.3262980028420421
982,-0.3503210631039451
983,-0.35131588691893556
984,-0.3090601867478573
985,-0.22248532476389596
986,-0.17651953022383093
987,-0.12819594084680494
988,-0.09871931604366806
989,-0.07081427754589363
990,-0.0559688382421062
991,-0.05770132214535545
992,-0.07446000948433767
993,-0.1038427515815693
994,-0.14107577983811895
995,-0.18175380165097438
996,-0.23464314796911928
997,-0.2736953748968087
998,-0.31507230346018605
999,-0.34427150261938366
1000,-0.3569059115622797
1001,-0.350882126401931
1002,-0.3225097992216531
1003,-0.29129563481772097
1004,-0.24875838967382527
1005,-0.2046474972886216
1006,-0.16187145574351416
1007,-0.1261890273013172
1008,-0.10196528743803183
1009,-0.0956157376009897
1010,-0.10544566054038289
1011,-0.132290475841971
1012,-0.17317650608839127
1013,-0.21927086518459535
1014,-0.26004597674985286
1015,-0.2912450470809298
1016,-0.3156599162894987
1017,-0.3284579765947755
1018,-0.3387614719819842
1019,-0.3388529843008148
1020,-0.32694311104931456
1021,-0.3059004156060045
1022,-0.27991926016182267
1023,-0.24674349486019173
1024,-0.20306073655608467
1025,-0.15583950310937383
1026,-0.10652748930419184
1027,-0.07656968024347387
1028,-0.0627839817619169
1029,-0.06336018704204363
1030,-0.08410017143639908
1031,-0.11663578183589163
1032,-0.1478730523145039
1033,-0.18412377299906738
1034,-0.22099251254367439
1035,-0.2523711381633364
1036,-0.28637908169402465
1037,-0.3150510324041574
1038,-0.3536645293778078
1039,-0.3791916671749845
1040,-0.39398362775199447
1041,-0.39327748527462025
1042,-0.37399617946687735
1043,-0.35105063006441656
1044,-0.30821019791027543
1045,-0.27301239152802836
1046,-0.23327366298878943
1047,-0.1950259243905805
1048,-0.17465935604637203
1049,-0.16890979678536128
1050,-0.17786828015691708
1051,-0.19767755787998736
1052,-0.2306139673692828
1053,-0.2754733577662298
1054,-0.3020321629851309
1055,-0.34965096002736484
1056,-0.38703972975750917
1057,-0.4116654455965755
1058,-0.4228316134894373
1059,-0.42609563014879004
1060,-0.4257474513732482
1061,-0.431479281167487
1062,-0.42890124052498546
1063,-0.4254815099086375
1064,-0.4185930285495643
1065,-0.40891604765255374
1066,-0.4072447626320845
1067,-0.40910401981798955
1068,-0.4105566711975624
1069,-0.411052871610235
1070,-0.41114751744738703
1071,-0.4109202407174306
1072,-0.4085187810375458
1073,-0.40552337489029117
1074,-0.40139700539590256
1075,-0.39880997459498696
1076,-0.3954121732676953
1077,-0.3957815062783576
1078,-0.3972409100293568
1079,-0.3998342794408747
1080,-0.4031327044867835
1081,-0.40432669746323907
1082,-0.40841221412957546
1083,-0.4098443159147042
1084,-0.41022704180443575
1085,-0.41101457997615265
1086,-0.41235289866310454
1087,-0.41365957861580666
1088,-0.41322039062721355
1089,-0.4136455147225732
1090,-0.41325104696851706
1091,-0.41214445162163293
1092,2.8755912493756382e-05
1093,-0.0008335900478666572
1094,-0.0018902981370253376
1095,-0.0022226401977679788
1096,-0.005290758212784929
1097,-0.008780840329762118
1098,-0.01231403789591163
1099,-0.014951166149802117
1100,-0.016353844142752424
1101,-0.01647409443244728
1102,-0.015014064377399229
1103,-0.012960537336815393
1104,-0.009917669188244662
1105,-0.007436921562250443
1106,-0.00718066217906115
1107,-0.0060295169945018025
1108,-0.0046245106768440895
1109,-0.003962894090485602
1110,-0.00445332580324718
1111,-0.005072344871720702
1112,-0.005644147205309435
1113,-0.000780413911399656
1114,2.2284804451874925e-06
1115,-0.0018591444261867917
1116,-0.00035057987051077084
1117,-0.0004958966915973431
1118,-0.0005017155921935028
1119,-0.0010593904896267262
1120,-0.002579724402082862
1121,-0.000783623377901574
1122,0.0024471305006237157
1123,0.004351382398962277
1124,0.006174592994173213
1125,0.006840061616038169
1126,0.006113314312726863
1127,0.004143453077003197
1128,0.00153418076448226
1129,-0.0013381338939765022
1130,-0.0026869860508188593
1131,-0.003784002612126805
1132,-0.0010353427679817414
1133,0.005579088292390328
1134,0.011687228954207757
1135,0.015970036322280307
1136,0.016595214154600496
1137,0.015445021267350503
1138,0.015182152245404524
1139,0.01658871620819788
1140,0.019957203033035588
1141,0.019737904877491018
1142,0.019518063684967103
1143,0.016151832803563023
1144,0.00999464024831811
1145,0.006962872251894615
1146,0.0027192590211910653
1147,-0.006196221916086861
1148,-0.02087362359287643
1149,-0.03769843262037251
1150,-0.05350454240186314
1151,-0.06639506015291954
1152,-0.08974812330600464
1153,-0.10289558726109128
1154,-0.11771609671076523
1155,-0.12527295192788807
1156,-0.1278041524960821
1157,-0.12691604184346372
1158,-0.12398596311505887
1159,-0.11712063541415929
1160,-0.11124014932306589
1161,-0.09979063156272991
1162,-0.08429918883997319
1163,-0.07299150794927498
1164,-0.06718325259202611
1165,-0.06652970476047512
1166,-0.06995587511518628
1167,-0.07459363381379738
1168,-0.08300817948970336
1169,-0.08920864669171805
1170,-0.09201608859710866
1171,-0.0941950729423482
1172,-0.10045317549213667
1173,-0.1012471801471877
